config,mode,decode_ms_mean,decode_ms_median,prefill_s_mean,total_s_mean
short,nograph,32.42366666666666,30.765,0.43866666666666665,1.476
short,split,16.587,16.55,0.44266666666666665,0.9736666666666667
short,layer,9.913333333333334,9.986,0.4896666666666667,0.807
long,nograph,29.938,29.902,0.527,4.358666666666667
long,split,16.401333333333334,16.262,0.5376666666666667,2.6366666666666667
long,layer,10.102,10.084,0.5246666666666667,1.818
