config,mode,decode_ms_per_token,cudaLaunchKernel_per_token,cudaGraphLaunch_per_token,copy_per_token,clone_per_token,to_copy_per_token,launch_cpu_ms_per_token,copy_clone_cpu_ms_per_token
short,nograph,36.003519773483276,1174.0,0.0,199.0,0.0,402.0,6.9282281250002855,2.802017124999922
short,split,20.532689929008484,630.0,64.0,327.0,64.0,402.0,4.646545499999959,5.565237499999869
short,layer,9.354597866535187,54.0,32.0,135.0,32.0,82.0,2.0755926250000094,2.7078210000000578
long,nograph,35.522382497787476,1174.0,0.0,199.0,0.0,402.0,6.767857687499796,2.79818437500008
long,split,20.236170172691345,630.0,64.0,327.0,64.0,402.0,4.739923187499943,5.640519812499972
long,layer,10.023284018039703,54.0,32.0,135.0,32.0,82.0,2.073861500000009,2.8849194375000007
