=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::item         0.00%       2.465us         0.03%      47.488us      47.488us       0.000us         0.00%       0.000us       0.000us             1  
                              aten::_local_scalar_dense         0.01%      12.583us         0.03%      45.023us      45.023us       0.000us         0.00%       0.000us       0.000us             1  
                                   cudaFuncSetAttribute         0.03%      43.088us         0.03%      43.088us       1.346us       0.000us         0.00%       0.000us       0.000us            32  
                                              aten::all         0.02%      26.287us         0.03%      36.427us      36.427us       0.000us         0.00%       0.000us       0.000us             1  
                                      aten::result_type         0.02%      26.274us         0.02%      26.274us       0.404us       0.000us         0.00%       0.000us       0.000us            65  
                                              aten::cos         0.01%      14.276us         0.02%      21.540us      21.540us       0.000us         0.00%       0.000us       0.000us             1  
                                        cudaMemcpyAsync         0.01%      19.476us         0.01%      19.476us      19.476us       0.000us         0.00%       0.000us       0.000us             1  
                                              aten::sin         0.01%      10.219us         0.01%      16.651us      16.651us       0.000us         0.00%       0.000us       0.000us             1  
                                  cudaStreamSynchronize         0.01%      12.964us         0.01%      12.964us      12.964us       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::expand         0.01%       8.575us         0.01%       9.948us       3.316us       0.000us         0.00%       0.000us       0.000us             3  
                                          aten::resize_         0.00%       5.991us         0.00%       5.991us       5.991us       0.000us         0.00%       0.000us       0.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 136.766ms
Self CUDA time total: 151.020ms


=== Decode Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::to         0.40%       1.477ms        35.42%     130.486ms      84.076us       0.000us         0.00%       3.341ms       2.152us          1552  
                                         aten::_to_copy         1.20%       4.417ms        35.02%     129.009ms     107.508us       0.000us         0.00%       3.341ms       2.784us          1200  
                                            aten::copy_         4.20%      15.466ms        27.92%     102.862ms      35.130us       7.126ms         2.61%       7.127ms       2.434us          2928  
                                  cudaStreamSynchronize        16.88%      62.171ms        16.88%      62.171ms       1.295ms       0.000us         0.00%       0.000us       0.000us            48  
                                               cudaFree        14.81%      54.571ms        14.81%      54.571ms     205.154us       0.000us         0.00%       0.000us       0.000us           266  
                                    aten::empty_strided         3.05%      11.241ms        13.78%      50.752ms      25.789us       0.000us         0.00%       0.000us       0.000us          1968  
                                           aten::linear         0.64%       2.357ms        11.98%      44.120ms      34.044us       0.000us         0.00%      31.464ms      24.278us          1296  
                                           aten::matmul         1.30%       4.800ms        11.48%      42.308ms      29.381us       0.000us         0.00%      37.482ms      26.029us          1440  
                                             cudaMalloc        10.67%      39.301ms        10.67%      39.301ms     614.077us       0.000us         0.00%       0.000us       0.000us            64  
                                               aten::mm         6.81%      25.072ms         9.27%      34.150ms      23.982us      37.446ms        13.72%      37.446ms      26.296us          1424  
                                       cudaLaunchKernel         8.99%      33.102ms         8.99%      33.102ms       6.085us       0.000us         0.00%       0.000us       0.000us          5440  
                                        cudaGraphLaunch         6.86%      25.259ms         6.96%      25.622ms      50.043us       0.000us         0.00%       0.000us       0.000us           512  
                                        cudaMemcpyAsync         4.86%      17.901ms         4.86%      17.901ms      10.079us       0.000us         0.00%       0.000us       0.000us          1776  
                                            aten::clone         0.49%       1.787ms         3.69%      13.576ms      22.330us       0.000us         0.00%       1.473ms       2.423us           608  
                                              aten::mul         1.74%       6.408ms         2.63%       9.704ms      12.636us       1.691ms         0.62%       1.691ms       2.202us           768  
                                              aten::add         1.55%       5.722ms         2.29%       8.429ms      15.052us     979.132us         0.36%     979.132us       1.748us           560  
                                            aten::slice         1.65%       6.061ms         2.12%       7.817ms       2.776us       0.000us         0.00%       0.000us       0.000us          2816  
                                          aten::reshape         0.51%       1.863ms         1.66%       6.116ms       2.730us       0.000us         0.00%       0.000us       0.000us          2240  
