=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  cudaDeviceSynchronize        52.03%      79.166ms        52.03%      79.166ms      79.166ms       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::linear         0.54%     824.706us        21.18%      32.231ms      71.784us       0.000us         0.00%     160.570ms     357.617us           449  
                                           aten::matmul         1.43%       2.180ms        19.59%      29.804ms      66.231us       0.000us         0.00%     160.570ms     356.822us           450  
                                    Command Buffer Full        17.30%      26.328ms        17.30%      26.328ms     230.949us      16.186ms        10.03%      16.186ms     141.982us           114  
                                               aten::mm         6.12%       9.316ms        17.23%      26.225ms      58.408us     144.246ms        89.34%     160.570ms     357.617us           449  
                                       cudaLaunchKernel         5.33%       8.117ms        14.96%      22.771ms      17.790us       0.000us         0.00%     698.040us       0.545us          1280  
                                         cuLaunchKernel         1.72%       2.615ms         9.39%      14.289ms      31.895us       0.000us         0.00%      15.488ms      34.571us           448  
                                              aten::mul         1.66%       2.524ms         7.86%      11.967ms      40.982us       3.957ms         2.45%       4.273ms      14.635us           292  
                     aten::scaled_dot_product_attention         0.33%     504.601us         5.17%       7.872ms     245.987us       0.000us         0.00%       4.359ms     136.206us            32  
                                            aten::fill_         0.25%     382.091us         2.68%       4.072ms      41.552us     194.112us         0.12%     228.894us       2.336us            98  
                                            aten::copy_         0.85%       1.293ms         2.57%       3.908ms      19.443us       1.985ms         1.23%       2.121ms      10.552us           201  
                                            aten::where         0.30%     460.253us         2.25%       3.427ms      53.544us     226.368us         0.14%     522.142us       8.158us            64  
                                               aten::to         0.11%     168.211us         1.96%       2.981ms       9.971us       0.000us         0.00%       1.326ms       4.434us           299  
                                              aten::add         1.15%       1.756ms         1.90%       2.887ms      14.960us       1.513ms         0.94%       1.528ms       7.918us           193  
                                         aten::_to_copy         0.31%     470.573us         1.85%       2.813ms      20.838us       0.000us         0.00%       1.326ms       9.821us           135  
                                              aten::pad         0.03%      51.189us         1.81%       2.749ms      83.300us       0.000us         0.00%     269.498us       8.167us            33  
                                  aten::constant_pad_nd         0.11%     168.092us         1.77%       2.698ms      81.749us       0.000us         0.00%     269.498us       8.167us            33  
                                      aten::index_copy_         0.36%     552.414us         1.68%       2.558ms      39.974us       1.147ms         0.71%       1.281ms      20.014us            64  
                                    aten::scalar_tensor         0.09%     129.392us         1.66%       2.524ms      39.436us       0.000us         0.00%     124.320us       1.943us            64  
                                       aten::contiguous         0.03%      38.049us         1.47%       2.234ms      67.706us       0.000us         0.00%     630.231us      19.098us            33  
                                            aten::clone         0.06%      96.308us         1.44%       2.196ms      66.553us       0.000us         0.00%     630.231us      19.098us            33  
