=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         1.59%     718.399us        36.51%      16.462ms      39.477us       0.000us         0.00%      37.107ms      88.985us           417  
                                           aten::matmul         3.82%       1.724ms        30.89%      13.926ms      33.315us       0.000us         0.00%      37.107ms      88.772us           418  
                                       cudaLaunchKernel        25.29%      11.404ms        25.69%      11.584ms       6.743us       0.000us         0.00%      74.591us       0.043us          1718  
                                               aten::mm        15.76%       7.107ms        23.70%      10.687ms      25.629us      37.107ms        66.87%      37.107ms      88.985us           417  
                                              aten::mul         5.65%       2.548ms         8.90%       4.013ms      13.744us       3.963ms         7.14%       3.963ms      13.573us           292  
                                            aten::copy_         3.62%       1.631ms         7.24%       3.263ms      12.408us       3.004ms         5.41%       3.004ms      11.423us           263  
                                               aten::to         0.42%     189.737us         6.68%       3.014ms       8.302us       0.000us         0.00%       1.331ms       3.666us           363  
                                         aten::_to_copy         1.05%     474.389us         6.26%       2.824ms      20.918us       0.000us         0.00%       1.331ms       9.857us           135  
                                              aten::add         3.82%       1.724ms         6.04%       2.725ms      14.119us       1.572ms         2.83%       1.572ms       8.147us           193  
                                        aten::embedding         0.06%      25.137us         6.01%       2.710ms       2.710ms       0.000us         0.00%       0.000us       0.000us             1  
                                     aten::index_select         0.10%      46.024us         5.92%       2.671ms       2.671ms       0.000us         0.00%       0.000us       0.000us             1  
                                       aten::contiguous         0.23%     102.564us         5.77%       2.602ms      20.326us       0.000us         0.00%       1.674ms      13.074us           128  
                                            aten::clone         0.64%     289.251us         5.54%       2.499ms      19.524us       0.000us         0.00%       1.674ms      13.074us           128  
                                              aten::cat         2.85%       1.286ms         4.65%       2.095ms      21.597us       3.852ms         6.94%       3.927ms      40.480us            97  
                                                aten::t         2.27%       1.022ms         4.39%       1.980ms       4.749us       0.000us         0.00%       0.000us       0.000us           417  
                     aten::scaled_dot_product_attention         0.64%     289.433us         4.12%       1.858ms      58.067us       0.000us         0.00%       1.684ms      52.620us            32  
                                        aten::transpose         2.43%       1.094ms         3.99%       1.798ms       2.241us       0.000us         0.00%       0.000us       0.000us           802  
              aten::_scaled_dot_product_flash_attention         0.45%     202.242us         3.48%       1.569ms      49.022us       0.000us         0.00%       1.684ms      52.620us            32  
                                Activity Buffer Request         3.26%       1.469ms         3.26%       1.469ms       1.469ms       0.000us         0.00%       0.000us       0.000us             1  
                         aten::_flash_attention_forward         0.72%     323.567us         2.63%       1.185ms      37.028us       1.684ms         3.03%       1.684ms      52.620us            32  
                                              aten::pow         1.52%     687.573us         2.40%       1.083ms      16.655us     573.920us         1.03%     573.920us       8.830us            65  
