=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         1.42%     706.804us        32.28%      16.107ms      38.625us       0.000us         0.00%      36.997ms      88.723us           417  
                                       cudaLaunchKernel        28.05%      13.999ms        28.05%      13.999ms       8.148us       0.000us         0.00%       0.000us       0.000us          1718  
                                           aten::matmul         3.52%       1.754ms        28.01%      13.977ms      33.438us       0.000us         0.00%      36.997ms      88.511us           418  
                                               aten::mm        13.96%       6.968ms        21.20%      10.578ms      25.368us      36.997ms        66.88%      36.997ms      88.723us           417  
                                        aten::embedding         0.07%      33.071us        15.61%       7.790ms       7.790ms       0.000us         0.00%       0.000us       0.000us             1  
                                     aten::index_select         0.13%      65.953us        15.51%       7.741ms       7.741ms       0.000us         0.00%       0.000us       0.000us             1  
                                Activity Buffer Request         8.25%       4.118ms         8.25%       4.118ms       4.118ms       0.000us         0.00%       0.000us       0.000us             1  
                                              aten::mul         5.10%       2.546ms         8.05%       4.016ms      13.752us       3.955ms         7.15%       3.955ms      13.545us           292  
                                            aten::copy_         3.24%       1.614ms         6.55%       3.271ms      12.436us       2.988ms         5.40%       2.988ms      11.360us           263  
                                               aten::to         0.37%     183.033us         6.06%       3.024ms       8.331us       0.000us         0.00%       1.307ms       3.601us           363  
                                         aten::_to_copy         0.97%     484.845us         5.69%       2.841ms      21.047us       0.000us         0.00%       1.307ms       9.682us           135  
                                              aten::add         3.39%       1.693ms         5.44%       2.713ms      14.058us       1.570ms         2.84%       1.570ms       8.136us           193  
                                       aten::contiguous         0.21%     105.184us         5.21%       2.599ms      20.307us       0.000us         0.00%       1.681ms      13.130us           128  
                                            aten::clone         0.59%     295.165us         5.00%       2.494ms      19.486us       0.000us         0.00%       1.681ms      13.130us           128  
                                              aten::cat         2.56%       1.280ms         3.94%       1.967ms      20.281us       3.845ms         6.95%       3.845ms      39.637us            97  
                     aten::scaled_dot_product_attention         0.58%     290.506us         3.75%       1.870ms      58.431us       0.000us         0.00%       1.682ms      52.563us            32  
                                        aten::transpose         2.20%       1.097ms         3.32%       1.658ms       2.068us       0.000us         0.00%       0.000us       0.000us           802  
                                                aten::t         1.59%     792.698us         3.24%       1.618ms       3.881us       0.000us         0.00%       0.000us       0.000us           417  
              aten::_scaled_dot_product_flash_attention         0.41%     204.914us         3.17%       1.579ms      49.353us       0.000us         0.00%       1.682ms      52.563us            32  
                         aten::_flash_attention_forward         0.65%     325.880us         2.40%       1.200ms      37.487us       1.682ms         3.04%       1.682ms      52.563us            32  
                                          aten::reshape         1.16%     578.606us         2.27%       1.135ms       2.510us       0.000us         0.00%       0.000us       0.000us           452  
