=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       cudaLaunchKernel        18.16%      11.085ms        30.71%      18.751ms      10.914us       0.000us         0.00%       0.000us       0.000us          1718  
                                           aten::linear         1.24%     758.889us        27.70%      16.911ms      37.663us       0.000us         0.00%      37.919ms      84.452us           449  
                                           aten::matmul         2.97%       1.810ms        23.45%      14.319ms      31.820us       0.000us         0.00%      37.923ms      84.272us           450  
                                               aten::mm        11.93%       7.286ms        18.17%      11.093ms      24.706us      37.919ms        70.25%      37.919ms      84.452us           449  
                       Runtime Triggered Module Loading        14.39%       8.785ms        14.39%       8.785ms       2.196ms     106.558us         0.20%     106.558us      26.639us             4  
                                              aten::all         0.07%      40.304us        12.66%       7.731ms       7.731ms       0.000us         0.00%       0.000us       0.000us             1  
                                       aten::is_nonzero         0.02%      15.108us         9.60%       5.859ms       5.859ms       0.000us         0.00%       0.000us       0.000us             1  
                                             aten::item         0.02%      13.184us         9.57%       5.843ms       5.843ms       0.000us         0.00%       0.000us       0.000us             1  
                              aten::_local_scalar_dense         0.09%      56.464us         9.55%       5.830ms       5.830ms       0.000us         0.00%       0.000us       0.000us             1  
                                          cudaHostAlloc         9.40%       5.739ms         9.40%       5.739ms       5.739ms       0.000us         0.00%       0.000us       0.000us             1  
                                              aten::mul         4.18%       2.553ms         6.82%       4.165ms      14.262us       3.969ms         7.35%       3.969ms      13.594us           292  
                                        aten::embedding         0.05%      32.128us         5.89%       3.594ms       3.594ms       0.000us         0.00%       0.000us       0.000us             1  
                                     aten::index_select         0.08%      49.683us         5.81%       3.547ms       3.547ms       0.000us         0.00%       0.000us       0.000us             1  
                                Activity Buffer Request         5.63%       3.438ms         5.63%       3.438ms       3.438ms       0.000us         0.00%       0.000us       0.000us             1  
                                            aten::copy_         2.67%       1.633ms         5.56%       3.392ms      12.898us       3.010ms         5.58%       3.010ms      11.444us           263  
                     aten::scaled_dot_product_attention         0.60%     363.543us         5.48%       3.344ms     104.506us       0.000us         0.00%       1.844ms      57.611us            32  
                                               aten::to         0.29%     175.727us         5.01%       3.061ms      10.239us       0.000us         0.00%       1.337ms       4.472us           299  
              aten::_scaled_dot_product_flash_attention         0.37%     227.545us         4.88%       2.981ms      93.145us       0.000us         0.00%       1.844ms      57.611us            32  
                                         aten::_to_copy         0.77%     472.870us         4.73%       2.886ms      21.375us       0.000us         0.00%       1.337ms       9.904us           135  
                                              aten::add         2.81%       1.714ms         4.60%       2.808ms      14.550us       1.580ms         2.93%       1.580ms       8.185us           193  
