=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  cudaDeviceSynchronize        52.40%      82.540ms        52.40%      82.540ms      82.540ms       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::linear         0.48%     759.865us        21.05%      33.150ms      73.831us       0.000us         0.00%     166.996ms     371.930us           449  
                                    Command Buffer Full        19.63%      30.920ms        19.63%      30.920ms     266.555us      13.593ms         8.04%      13.593ms     117.178us           116  
                                           aten::matmul         1.27%       2.004ms        19.50%      30.715ms      68.255us       0.000us         0.00%     166.996ms     371.103us           450  
                                               aten::mm         5.62%       8.860ms        17.34%      27.314ms      60.833us     154.221ms        91.21%     166.996ms     371.930us           449  
                                       cudaLaunchKernel         4.58%       7.221ms        15.59%      24.564ms      19.342us       0.000us         0.00%     817.466us       0.644us          1270  
                                         cuLaunchKernel         1.66%       2.617ms        10.28%      16.195ms      36.150us       0.000us         0.00%      12.775ms      28.516us           448  
                                              aten::mul         1.61%       2.530ms         8.72%      13.739ms      47.052us       3.694ms         2.19%       4.024ms      13.779us           292  
                                            aten::copy_         1.02%       1.605ms         4.19%       6.600ms      25.094us       2.792ms         1.65%       3.029ms      11.517us           263  
                                       aten::contiguous         0.07%     109.121us         3.79%       5.977ms      46.694us       0.000us         0.00%       1.794ms      14.018us           128  
                                            aten::clone         0.18%     280.932us         3.73%       5.868ms      45.842us       0.000us         0.00%       1.794ms      14.018us           128  
                                               aten::to         0.11%     170.889us         1.87%       2.946ms       9.854us       0.000us         0.00%       1.235ms       4.129us           299  
                                              aten::add         1.09%       1.722ms         1.81%       2.849ms      14.760us       1.421ms         0.84%       1.436ms       7.440us           193  
                                         aten::_to_copy         0.30%     469.105us         1.76%       2.776ms      20.560us       0.000us         0.00%       1.235ms       9.146us           135  
                                      aten::index_copy_         0.35%     557.328us         1.76%       2.769ms      43.259us     962.395us         0.57%       1.091ms      17.046us            64  
                                            aten::zero_         0.07%     110.381us         1.61%       2.530ms      39.534us       0.000us         0.00%     342.403us       5.350us            64  
                                            aten::zeros         0.06%      89.970us         1.57%       2.473ms      77.275us       0.000us         0.00%     192.036us       6.001us            32  
                                            aten::fill_         0.16%     247.747us         1.54%       2.420ms      37.809us     299.811us         0.18%     342.403us       5.350us            64  
                                        cudaMemsetAsync         1.31%       2.058ms         1.31%       2.058ms       4.593us       0.000us         0.00%       0.000us       0.000us           448  
                     aten::scaled_dot_product_attention         0.19%     294.777us         1.16%       1.834ms      57.315us       0.000us         0.00%       1.592ms      49.756us            32  
                                                aten::t         0.57%     897.135us         1.15%       1.805ms       4.019us       0.000us         0.00%       0.000us       0.000us           449  
