=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  cudaDeviceSynchronize        50.65%      47.205ms        50.65%      47.205ms      47.205ms       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::linear         0.86%     800.528us        21.24%      19.792ms      44.080us       0.000us         0.00%      85.464ms     190.343us           449  
                                           aten::matmul         2.13%       1.989ms        18.54%      17.281ms      38.402us       0.000us         0.00%      85.464ms     189.920us           450  
                                               aten::mm         9.42%       8.777ms        14.90%      13.889ms      30.933us      85.464ms        83.63%      85.464ms     190.343us           449  
                                       cudaLaunchKernel         8.45%       7.879ms         8.45%       7.879ms       6.155us       0.000us         0.00%       0.000us       0.000us          1280  
                     aten::scaled_dot_product_attention         0.55%     517.032us         5.09%       4.746ms     148.317us       0.000us         0.00%       4.187ms     130.836us            32  
                                              aten::mul         2.77%       2.585ms         4.42%       4.116ms      14.097us       3.892ms         3.81%       3.892ms      13.329us           292  
                                               aten::to         0.18%     168.182us         3.23%       3.007ms      10.057us       0.000us         0.00%       1.290ms       4.315us           299  
                                         cuLaunchKernel         3.11%       2.900ms         3.11%       2.900ms       6.474us       0.000us         0.00%       0.000us       0.000us           448  
                                         aten::_to_copy         0.51%     471.505us         3.05%       2.839ms      21.030us       0.000us         0.00%       1.290ms       9.557us           135  
                                              aten::add         1.85%       1.725ms         3.01%       2.802ms      14.517us       1.466ms         1.43%       1.466ms       7.594us           193  
                                            aten::copy_         1.38%       1.282ms         2.82%       2.629ms      13.082us       1.932ms         1.89%       1.932ms       9.613us           201  
                                        cudaMemsetAsync         2.14%       1.998ms         2.14%       1.998ms       5.203us       0.000us         0.00%       0.000us       0.000us           384  
                                            aten::where         0.49%     459.522us         2.01%       1.871ms      29.229us     221.440us         0.22%     494.816us       7.732us            64  
                                                aten::t         1.00%     929.159us         1.99%       1.858ms       4.137us       0.000us         0.00%       0.000us       0.000us           449  
                                        aten::transpose         0.97%     906.722us         1.54%       1.437ms       2.035us       0.000us         0.00%       0.000us       0.000us           706  
          aten::_scaled_dot_product_efficient_attention         0.21%     198.067us         1.30%       1.209ms      37.774us       0.000us         0.00%       3.627ms     113.357us            32  
                                              aten::cat         0.86%     804.413us         1.27%       1.187ms      18.261us       1.443ms         1.41%       1.443ms      22.203us            65  
                                              aten::pad         0.06%      53.114us         1.25%       1.168ms      35.382us       0.000us         0.00%     231.133us       7.004us            33  
                                  aten::constant_pad_nd         0.19%     173.277us         1.20%       1.114ms      33.773us       0.000us         0.00%     231.133us       7.004us            33  
                                             aten::mean         0.79%     733.625us         1.18%       1.096ms      16.861us       1.138ms         1.11%       1.138ms      17.512us            65  
