=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  cudaDeviceSynchronize        54.38%      86.350ms        54.38%      86.350ms      86.350ms       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::linear         0.47%     738.449us        16.83%      26.722ms      64.082us       0.000us         0.00%     163.782ms     392.761us           417  
                                       cudaLaunchKernel         5.40%       8.575ms        16.78%      26.644ms      20.464us       0.000us         0.00%     946.813us       0.727us          1302  
                                    Command Buffer Full        16.26%      25.814ms        16.26%      25.814ms     280.587us      13.220ms         7.78%      13.220ms     143.690us            92  
                                           aten::matmul         1.20%       1.902ms        15.36%      24.392ms      58.354us       0.000us         0.00%     163.782ms     391.822us           418  
                                               aten::mm         5.26%       8.350ms        13.15%      20.883ms      50.079us     151.306ms        89.00%     163.782ms     392.761us           417  
                                              aten::add         1.09%       1.738ms         6.83%      10.844ms      56.189us       1.486ms         0.87%       1.707ms       8.847us           193  
                                        cudaMemsetAsync         1.17%       1.862ms         6.00%       9.524ms      24.803us       0.000us         0.00%      10.380ms      27.032us           384  
                     aten::scaled_dot_product_attention         0.19%     295.027us         3.81%       6.056ms     189.250us       0.000us         0.00%       1.987ms      62.109us            32  
              aten::_scaled_dot_product_flash_attention         0.13%     199.843us         3.63%       5.761ms     180.030us       0.000us         0.00%       1.987ms      62.109us            32  
                         aten::_flash_attention_forward         0.21%     326.535us         3.39%       5.384ms     168.260us       1.621ms         0.95%       1.987ms      62.109us            32  
                                              aten::pow         0.43%     679.549us         2.64%       4.195ms      64.535us     542.715us         0.32%     678.331us      10.436us            65  
                                              aten::mul         1.60%       2.535ms         2.52%       3.999ms      13.696us       3.873ms         2.28%       3.873ms      13.263us           292  
                                            aten::copy_         1.01%       1.611ms         2.51%       3.982ms      15.142us       2.880ms         1.69%       2.964ms      11.272us           263  
                                       aten::contiguous         0.06%     102.185us         2.13%       3.390ms      26.481us       0.000us         0.00%       1.709ms      13.348us           128  
                                            aten::clone         0.21%     341.357us         2.07%       3.287ms      25.683us       0.000us         0.00%       1.709ms      13.348us           128  
                                               aten::to         0.11%     179.509us         1.88%       2.991ms       8.240us       0.000us         0.00%       1.256ms       3.460us           363  
                                         aten::_to_copy         0.31%     486.763us         1.77%       2.812ms      20.827us       0.000us         0.00%       1.256ms       9.303us           135  
                                         cuLaunchKernel         1.59%       2.528ms         1.64%       2.611ms       6.276us       0.000us         0.00%       1.892ms       4.549us           416  
                                        aten::embedding         0.01%      17.162us         1.64%       2.596ms       2.596ms       0.000us         0.00%       0.000us       0.000us             1  
