=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  cudaDeviceSynchronize        38.42%      32.271ms        38.42%      32.271ms      32.271ms       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::linear         0.87%     726.793us        21.98%      18.464ms      44.277us       0.000us         0.00%      78.106ms     187.305us           417  
                                           aten::matmul         2.21%       1.854ms        19.20%      16.125ms      38.577us       0.000us         0.00%      78.106ms     186.857us           418  
                                               aten::mm         9.79%       8.224ms        15.23%      12.789ms      30.669us      78.106ms        80.99%      78.106ms     187.305us           417  
                                              aten::cat         1.79%       1.507ms        12.03%      10.101ms     104.130us       4.872ms         5.05%       4.872ms      50.229us            97  
                                             cudaMalloc         9.67%       8.119ms         9.67%       8.119ms     246.044us       0.000us         0.00%       0.000us       0.000us            33  
                                       cudaLaunchKernel         9.02%       7.578ms         9.02%       7.578ms       5.681us       0.000us         0.00%       0.000us       0.000us          1334  
                                              aten::mul         3.02%       2.535ms         4.65%       3.906ms      13.375us       3.705ms         3.84%       3.705ms      12.689us           292  
                                            aten::copy_         1.91%       1.603ms         3.75%       3.149ms      11.974us       2.770ms         2.87%       2.770ms      10.531us           263  
                                               aten::to         0.22%     183.885us         3.50%       2.936ms       8.087us       0.000us         0.00%       1.198ms       3.301us           363  
                                         aten::_to_copy         0.57%     475.907us         3.28%       2.752ms      20.384us       0.000us         0.00%       1.198ms       8.875us           135  
                                              aten::add         2.07%       1.740ms         3.22%       2.704ms      14.010us       1.440ms         1.49%       1.440ms       7.460us           193  
                                       aten::contiguous         0.12%      99.862us         3.02%       2.537ms      19.823us       0.000us         0.00%       1.572ms      12.277us           128  
                                            aten::clone         0.35%     291.968us         2.90%       2.438ms      19.043us       0.000us         0.00%       1.572ms      12.277us           128  
                                         cuLaunchKernel         2.81%       2.361ms         2.81%       2.361ms       6.147us       0.000us         0.00%       0.000us       0.000us           384  
                     aten::scaled_dot_product_attention         0.34%     286.458us         2.13%       1.791ms      55.981us       0.000us         0.00%       1.571ms      49.102us            32  
                                        aten::transpose         1.34%       1.125ms         2.03%       1.708ms       2.130us       0.000us         0.00%       0.000us       0.000us           802  
                                                aten::t         0.99%     835.272us         2.02%       1.701ms       4.078us       0.000us         0.00%       0.000us       0.000us           417  
              aten::_scaled_dot_product_flash_attention         0.23%     196.044us         1.79%       1.505ms      47.029us       0.000us         0.00%       1.571ms      49.102us            32  
                                        cudaMemsetAsync         1.78%       1.495ms         1.78%       1.495ms       4.672us       0.000us         0.00%       0.000us       0.000us           320  
