=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  cudaDeviceSynchronize        55.09%      85.040ms        55.09%      85.040ms      85.040ms       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::linear         0.48%     747.641us        14.45%      22.303ms      53.484us       0.000us         0.00%     155.229ms     372.251us           417  
                                           aten::matmul         1.23%       1.901ms        12.85%      19.831ms      47.442us       0.000us         0.00%     155.232ms     371.368us           418  
                                              aten::cat         1.03%       1.585ms        10.61%      16.379ms     168.851us       4.686ms         2.75%       4.686ms      48.313us            97  
                                               aten::mm         5.52%       8.516ms        10.59%      16.350ms      39.208us     151.420ms        88.82%     155.229ms     372.251us           417  
                                             cudaMalloc         9.27%      14.302ms         9.27%      14.302ms     433.402us       0.000us         0.00%       0.000us       0.000us            33  
                                       cudaLaunchKernel         5.41%       8.354ms         9.18%      14.176ms      10.888us       0.000us         0.00%     305.275us       0.234us          1302  
                                    Command Buffer Full         5.43%       8.377ms         5.43%       8.377ms     279.240us       4.114ms         2.41%       4.114ms     137.122us            30  
                                              aten::add         1.14%       1.765ms         3.77%       5.823ms      30.172us       1.508ms         0.88%       1.581ms       8.193us           193  
                                        cudaMemsetAsync         1.32%       2.043ms         2.96%       4.563ms      11.883us       0.000us         0.00%       3.007ms       7.832us           384  
                                              aten::mul         1.68%       2.600ms         2.68%       4.138ms      14.172us       3.932ms         2.31%       3.932ms      13.465us           292  
                                            aten::copy_         1.06%       1.637ms         2.29%       3.534ms      13.438us       2.966ms         1.74%       2.990ms      11.367us           263  
                     aten::scaled_dot_product_attention         0.20%     302.127us         2.16%       3.334ms     104.201us       0.000us         0.00%       1.823ms      56.969us            32  
                                               aten::to         0.12%     184.213us         1.99%       3.072ms       8.463us       0.000us         0.00%       1.304ms       3.591us           363  
              aten::_scaled_dot_product_flash_attention         0.13%     200.653us         1.96%       3.032ms      94.759us       0.000us         0.00%       1.823ms      56.969us            32  
                                         aten::_to_copy         0.32%     499.684us         1.87%       2.888ms      21.391us       0.000us         0.00%       1.304ms       9.656us           135  
                                       aten::contiguous         0.07%     101.513us         1.85%       2.855ms      22.306us       0.000us         0.00%       1.686ms      13.173us           128  
                                            aten::clone         0.20%     303.333us         1.78%       2.754ms      21.513us       0.000us         0.00%       1.686ms      13.173us           128  
                                         cuLaunchKernel         1.75%       2.706ms         1.78%       2.741ms       6.589us       0.000us         0.00%     801.051us       1.926us           416  
                         aten::_flash_attention_forward         0.21%     329.776us         1.72%       2.658ms      83.066us       1.667ms         0.98%       1.823ms      56.969us            32  
