=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  cudaDeviceSynchronize        38.20%      27.108ms        38.20%      27.108ms      27.108ms       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::linear         1.02%     725.208us        25.79%      18.301ms      43.888us       0.000us         0.00%      68.144ms     163.415us           417  
                                           aten::matmul         2.66%       1.887ms        22.54%      15.995ms      38.266us       0.000us         0.00%      68.144ms     163.024us           418  
                                               aten::mm        11.55%       8.198ms        17.68%      12.549ms      30.092us      68.144ms        80.94%      68.144ms     163.415us           417  
                                       cudaLaunchKernel        10.72%       7.605ms        10.72%       7.605ms       5.701us       0.000us         0.00%       0.000us       0.000us          1334  
                                              aten::mul         3.64%       2.582ms         5.62%       3.986ms      13.650us       3.216ms         3.82%       3.216ms      11.015us           292  
                                            aten::copy_         2.28%       1.618ms         4.52%       3.206ms      12.191us       2.400ms         2.85%       2.400ms       9.126us           263  
                                               aten::to         0.26%     181.714us         4.24%       3.007ms       8.283us       0.000us         0.00%       1.040ms       2.865us           363  
                                         aten::_to_copy         0.68%     480.404us         3.98%       2.825ms      20.925us       0.000us         0.00%       1.040ms       7.703us           135  
                                              aten::add         2.47%       1.751ms         3.85%       2.729ms      14.139us       1.234ms         1.47%       1.234ms       6.395us           193  
                                       aten::contiguous         0.15%     104.892us         3.70%       2.624ms      20.504us       0.000us         0.00%       1.360ms      10.627us           128  
                                            aten::clone         0.46%     323.825us         3.55%       2.520ms      19.684us       0.000us         0.00%       1.360ms      10.627us           128  
                                         cuLaunchKernel         3.39%       2.403ms         3.39%       2.403ms       6.257us       0.000us         0.00%       0.000us       0.000us           384  
                                              aten::cat         1.79%       1.271ms         2.63%       1.866ms      19.238us       4.432ms         5.26%       4.432ms      45.688us            97  
                     aten::scaled_dot_product_attention         0.41%     290.902us         2.61%       1.852ms      57.861us       0.000us         0.00%       1.346ms      42.062us            32  
                                        aten::transpose         1.58%       1.122ms         2.43%       1.725ms       2.151us       0.000us         0.00%       0.000us       0.000us           802  
                                                aten::t         1.20%     850.280us         2.43%       1.725ms       4.136us       0.000us         0.00%       0.000us       0.000us           417  
              aten::_scaled_dot_product_flash_attention         0.29%     204.308us         2.20%       1.561ms      48.771us       0.000us         0.00%       1.346ms      42.062us            32  
                                        cudaMemsetAsync         2.13%       1.513ms         2.13%       1.513ms       4.728us       0.000us         0.00%       0.000us       0.000us           320  
                         aten::_flash_attention_forward         0.46%     328.236us         1.66%       1.178ms      36.811us       1.346ms         1.60%       1.346ms      42.062us            32  
