=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   cudaFuncSetAttribute         0.03%      42.644us         0.03%      42.644us       1.333us       0.000us         0.00%       0.000us       0.000us            32  
                              aten::_local_scalar_dense         0.01%      11.381us         0.03%      41.687us      41.687us       0.000us         0.00%       0.000us       0.000us             1  
                                              aten::all         0.02%      26.127us         0.03%      35.655us      35.655us       0.000us         0.00%       0.000us       0.000us             1  
                                      aten::result_type         0.02%      26.222us         0.02%      26.222us       0.403us       0.000us         0.00%       0.000us       0.000us            65  
                                              aten::cos         0.01%      14.066us         0.02%      21.540us      21.540us       0.000us         0.00%       0.000us       0.000us             1  
                                        cudaMemcpyAsync         0.02%      19.987us         0.02%      19.987us      19.987us       0.000us         0.00%       0.000us       0.000us             1  
                                              aten::sin         0.01%      10.400us         0.01%      16.841us      16.841us       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::expand         0.01%       8.955us         0.01%      10.399us       3.466us       0.000us         0.00%       0.000us       0.000us             3  
                                  cudaStreamSynchronize         0.01%      10.319us         0.01%      10.319us      10.319us       0.000us         0.00%       0.000us       0.000us             1  
                                          aten::resize_         0.01%       9.287us         0.01%       9.287us       9.287us       0.000us         0.00%       0.000us       0.000us             1  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.00%       1.964us         0.00%       1.964us       1.964us       0.000us         0.00%       0.000us       0.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 127.427ms
Self CUDA time total: 141.288ms


=== Decode Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::to         0.36%       1.427ms        43.90%     173.934ms     112.071us       0.000us         0.00%       3.565ms       2.297us          1552  
                                         aten::_to_copy         1.11%       4.402ms        43.54%     172.507ms     143.756us       0.000us         0.00%       3.565ms       2.971us          1200  
                                            aten::copy_         3.86%      15.310ms        36.54%     144.781ms      49.447us       7.746ms         2.38%       7.747ms       2.646us          2928  
                                  cudaStreamSynchronize        26.95%     106.785ms        26.95%     106.785ms       2.225ms       0.000us         0.00%       0.000us       0.000us            48  
                                    aten::empty_strided         2.79%      11.042ms        13.27%      52.587ms      26.721us       0.000us         0.00%       0.000us       0.000us          1968  
                                           aten::linear         0.63%       2.490ms        11.08%      43.888ms      33.864us       0.000us         0.00%      37.246ms      28.739us          1296  
