=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         1.65%     723.958us        37.48%      16.453ms      39.457us       0.000us         0.00%      36.041ms      86.430us           417  
                                           aten::matmul         3.91%       1.717ms        32.14%      14.110ms      33.757us       0.000us         0.00%      36.041ms      86.223us           418  
                                       cudaLaunchKernel        25.92%      11.377ms        25.92%      11.377ms       6.622us       0.000us         0.00%       0.000us       0.000us          1718  
                                               aten::mm        16.21%       7.115ms        24.80%      10.886ms      26.105us      36.041ms        66.81%      36.041ms      86.430us           417  
                                              aten::mul         5.85%       2.568ms         9.43%       4.141ms      14.181us       3.854ms         7.14%       3.854ms      13.199us           292  
                                            aten::copy_         3.68%       1.616ms         7.66%       3.364ms      12.791us       2.930ms         5.43%       2.930ms      11.140us           263  
                                               aten::to         0.42%     185.528us         6.99%       3.067ms       8.448us       0.000us         0.00%       1.285ms       3.539us           363  
                                         aten::_to_copy         1.11%     489.408us         6.56%       2.881ms      21.342us       0.000us         0.00%       1.285ms       9.515us           135  
                                              aten::add         3.86%       1.696ms         6.32%       2.776ms      14.383us       1.527ms         2.83%       1.527ms       7.911us           193  
                                       aten::contiguous         0.24%     103.857us         6.12%       2.687ms      20.993us       0.000us         0.00%       1.645ms      12.853us           128  
                                            aten::clone         0.69%     302.839us         5.88%       2.583ms      20.182us       0.000us         0.00%       1.645ms      12.853us           128  
                                              aten::cat         3.03%       1.329ms         4.49%       1.972ms      20.327us       3.776ms         7.00%       3.776ms      38.931us            97  
                     aten::scaled_dot_product_attention         0.68%     299.879us         4.38%       1.924ms      60.112us       0.000us         0.00%       1.638ms      51.198us            32  
                                                aten::t         1.99%     872.594us         3.99%       1.751ms       4.198us       0.000us         0.00%       0.000us       0.000us           417  
                                        aten::transpose         2.53%       1.111ms         3.94%       1.728ms       2.155us       0.000us         0.00%       0.000us       0.000us           802  
              aten::_scaled_dot_product_flash_attention         0.49%     213.353us         3.70%       1.624ms      50.741us       0.000us         0.00%       1.638ms      51.198us            32  
                         aten::_flash_attention_forward         0.76%     333.506us         2.79%       1.226ms      38.303us       1.638ms         3.04%       1.638ms      51.198us            32  
                                              aten::pow         1.60%     704.345us         2.54%       1.116ms      17.175us     553.729us         1.03%     553.729us       8.519us            65  
                                        aten::embedding         0.06%      24.415us         2.51%       1.101ms       1.101ms       0.000us         0.00%       0.000us       0.000us             1  
                                             aten::mean         1.63%     717.696us         2.49%       1.092ms      16.802us       1.112ms         2.06%       1.112ms      17.107us            65  
                                            aten::empty         2.45%       1.074ms         2.45%       1.074ms       3.718us       0.000us         0.00%       0.000us       0.000us           289  
