=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                       Runtime Triggered Module Loading        55.90%     235.138ms        55.90%     235.138ms       4.703ms       1.347ms         2.44%       1.347ms      26.939us            50  
                                           aten::matmul         0.70%       2.965ms        47.08%     198.035ms     440.077us       0.000us         0.00%      66.866ms     148.591us           450  
                                       cudaLaunchKernel         4.45%      18.711ms        45.86%     192.916ms     111.641us       0.000us         0.00%     550.454us       0.319us          1728  
                                           aten::linear         0.31%       1.291ms        35.04%     147.376ms     328.232us       0.000us         0.00%      66.847ms     148.880us           449  
                                               aten::mm        14.66%      61.648ms        33.09%     139.201ms     310.024us      37.839ms        68.64%      66.847ms     148.880us           449  
                                   cudaFuncSetAttribute         0.20%     832.135us        16.30%      68.581ms     154.462us       0.000us         0.00%      29.360ms      66.125us           444  
                                        aten::embedding         0.02%     103.082us        13.22%      55.589ms      55.589ms       0.000us         0.00%     148.864us     148.864us             1  
                                     aten::index_select         0.03%     136.312us        13.18%      55.458ms      55.458ms      37.216us         0.07%     148.864us     148.864us             1  
                                              aten::bmm         8.83%      37.123ms        12.89%      54.229ms      54.229ms       3.104us         0.01%      18.624us      18.624us             1  
                                              aten::pow         0.24%     990.020us         7.03%      29.584ms     455.137us     558.332us         1.01%     584.156us       8.987us            65  
                                             aten::mean         0.24%       1.029ms         4.16%      17.506ms     269.327us       1.158ms         2.10%       1.210ms      18.613us            65  
                                            aten::index         0.05%     208.064us         4.02%      16.903ms       8.451ms       7.743us         0.01%      74.744us      37.372us             2  
                                            aten::rsqrt         0.14%     605.013us         3.88%      16.323ms     251.118us     139.071us         0.25%     145.695us       2.241us            65  
                                            aten::where         0.16%     669.148us         3.21%      13.510ms     211.101us     224.287us         0.41%     545.751us       8.527us            64  
                     aten::scaled_dot_product_attention         0.18%     776.854us         3.09%      12.982ms     405.687us       0.000us         0.00%       4.689ms     146.522us            32  
                                             aten::silu         0.12%     492.956us         3.03%      12.744ms     398.250us     550.235us         1.00%     602.171us      18.818us            32  
                                               aten::to         0.06%     236.284us         2.97%      12.496ms      41.792us       0.000us         0.00%       1.315ms       4.399us           299  
                                         aten::_to_copy         0.16%     665.907us         2.91%      12.260ms      90.812us       0.000us         0.00%       1.315ms       9.743us           135  
                                            aten::copy_         0.43%       1.792ms         2.78%      11.681ms      58.114us       1.972ms         3.58%       2.011ms      10.003us           201  
                                              aten::mul         0.83%       3.510ms         2.67%      11.250ms      38.527us       3.951ms         7.17%       3.999ms      13.694us           292  
                                              aten::cat         0.27%       1.150ms         2.51%      10.571ms     162.636us       1.498ms         2.72%       1.541ms      23.714us            65  
