=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      aten::result_type         0.03%      25.918us         0.03%      25.918us       0.399us       0.000us         0.00%       0.000us       0.000us            65  
                                              aten::cos         0.02%      14.196us         0.03%      23.643us      23.643us       0.000us         0.00%       0.000us       0.000us             1  
                                        cudaMemcpyAsync         0.02%      20.658us         0.02%      20.658us      20.658us       0.000us         0.00%       0.000us       0.000us             1  
                                              aten::sin         0.01%      10.209us         0.02%      18.885us      18.885us       0.000us         0.00%       0.000us       0.000us             1  
                                  cudaStreamSynchronize         0.01%      12.072us         0.01%      12.072us      12.072us       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::expand         0.01%       8.916us         0.01%      10.449us       3.483us       0.000us         0.00%       0.000us       0.000us             3  
                                          aten::resize_         0.01%       5.781us         0.01%       5.781us       5.781us       0.000us         0.00%       0.000us       0.000us             1  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.00%       2.275us         0.00%       2.275us       2.275us       0.000us         0.00%       0.000us       0.000us             1  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     834.608us         0.86%     834.608us       2.238us           373  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      80.874ms        83.02%      80.874ms     185.917us           435  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     477.499us         0.49%     477.499us       7.579us            63  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 88.852ms
Self CUDA time total: 97.414ms


=== Decode Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
