=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  cudaDeviceSynchronize        39.84%      28.774ms        39.84%      28.774ms      28.774ms       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::linear         0.99%     716.072us        25.11%      18.137ms      43.494us       0.000us         0.00%      69.056ms     165.603us           417  
                                           aten::matmul         2.53%       1.827ms        21.86%      15.793ms      37.783us       0.000us         0.00%      69.056ms     165.207us           418  
                                               aten::mm        11.22%       8.104ms        17.25%      12.464ms      29.889us      69.056ms        81.00%      69.056ms     165.603us           417  
                                       cudaLaunchKernel        10.46%       7.553ms        10.46%       7.553ms       5.662us       0.000us         0.00%       0.000us       0.000us          1334  
                                              aten::mul         3.55%       2.562ms         5.50%       3.974ms      13.609us       3.250ms         3.81%       3.250ms      11.129us           292  
                                            aten::copy_         2.22%       1.601ms         4.39%       3.173ms      12.064us       2.431ms         2.85%       2.431ms       9.244us           263  
                                               aten::to         0.25%     180.045us         4.07%       2.939ms       8.096us       0.000us         0.00%       1.055ms       2.906us           363  
                                         aten::_to_copy         0.67%     483.898us         3.82%       2.759ms      20.435us       0.000us         0.00%       1.055ms       7.813us           135  
                                              aten::add         2.39%       1.727ms         3.75%       2.710ms      14.043us       1.248ms         1.46%       1.248ms       6.464us           193  
                                       aten::contiguous         0.14%     100.514us         3.57%       2.576ms      20.127us       0.000us         0.00%       1.377ms      10.754us           128  
                                            aten::clone         0.41%     295.500us         3.43%       2.476ms      19.342us       0.000us         0.00%       1.377ms      10.754us           128  
                                         cuLaunchKernel         3.31%       2.391ms         3.31%       2.391ms       6.226us       0.000us         0.00%       0.000us       0.000us           384  
                                              aten::cat         1.75%       1.263ms         2.56%       1.848ms      19.055us       4.453ms         5.22%       4.453ms      45.908us            97  
                     aten::scaled_dot_product_attention         0.39%     284.911us         2.51%       1.813ms      56.652us       0.000us         0.00%       1.362ms      42.548us            32  
                                        aten::transpose         1.57%       1.134ms         2.40%       1.731ms       2.158us       0.000us         0.00%       0.000us       0.000us           802  
                                                aten::t         1.17%     842.631us         2.38%       1.721ms       4.128us       0.000us         0.00%       0.000us       0.000us           417  
                                        cudaMemsetAsync         2.12%       1.529ms         2.12%       1.529ms       4.777us       0.000us         0.00%       0.000us       0.000us           320  
              aten::_scaled_dot_product_flash_attention         0.27%     195.899us         2.12%       1.528ms      47.748us       0.000us         0.00%       1.362ms      42.548us            32  
                         aten::_flash_attention_forward         0.45%     322.670us         1.60%       1.159ms      36.205us       1.362ms         1.60%       1.362ms      42.548us            32  
