=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                              aten::_local_scalar_dense         0.01%      16.280us         0.04%      59.610us      59.610us       0.000us         0.00%       0.000us       0.000us             1  
                                   cudaFuncSetAttribute         0.04%      55.707us         0.04%      55.707us       1.741us       0.000us         0.00%       0.000us       0.000us            32  
                                              aten::all         0.02%      33.912us         0.03%      47.838us      47.838us       0.000us         0.00%       0.000us       0.000us             1  
                                        cudaMemcpyAsync         0.02%      30.366us         0.02%      30.366us      30.366us       0.000us         0.00%       0.000us       0.000us             1  
                                              aten::cos         0.01%      18.494us         0.02%      27.651us      27.651us       0.000us         0.00%       0.000us       0.000us             1  
                                      aten::result_type         0.02%      27.005us         0.02%      27.005us       0.415us       0.000us         0.00%       0.000us       0.000us            65  
                                              aten::sin         0.01%      12.132us         0.02%      21.870us      21.870us       0.000us         0.00%       0.000us       0.000us             1  
                                          aten::resize_         0.01%      15.419us         0.01%      15.419us      15.419us       0.000us         0.00%       0.000us       0.000us             1  
                                  cudaStreamSynchronize         0.01%      12.964us         0.01%      12.964us      12.964us       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::expand         0.01%      11.070us         0.01%      12.653us       4.218us       0.000us         0.00%       0.000us       0.000us             3  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.00%       2.935us         0.00%       2.935us       2.935us       0.000us         0.00%       0.000us       0.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 140.108ms
Self CUDA time total: 153.693ms


=== Decode Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::matmul         1.26%       6.362ms        28.19%     142.399ms      98.888us       0.000us         0.00%      44.730ms      31.063us          1440  
                                               aten::mm         6.71%      33.875ms        26.15%     132.082ms      92.754us      44.695ms        14.18%      44.695ms      31.387us          1424  
                                           aten::linear         0.64%       3.230ms        18.81%      94.988ms      73.293us       0.000us         0.00%      38.326ms      29.572us          1296  
                                             cudaMalloc        17.05%      86.129ms        17.05%      86.129ms     683.563us       0.000us         0.00%       0.000us       0.000us           126  
                                            aten::copy_         5.76%      29.100ms        15.79%      79.739ms      14.701us      15.666ms         4.97%      15.667ms       2.889us          5424  
                                       cudaLaunchKernel        14.88%      75.161ms        14.93%      75.433ms       6.187us       0.000us         0.00%       1.760us       0.000us         12192  
                                               aten::to         0.66%       3.309ms        11.95%      60.339ms      16.048us       0.000us         0.00%       9.452ms       2.514us          3760  
                                         aten::_to_copy         1.85%       9.352ms        11.29%      57.030ms      21.344us       0.000us         0.00%       9.452ms       3.538us          2672  
                                               cudaFree        10.12%      51.114ms        10.12%      51.114ms     837.931us       0.000us         0.00%       0.000us       0.000us            61  
                                        cudaMemcpyAsync         6.29%      31.788ms         6.29%      31.788ms      11.353us       0.000us         0.00%       0.000us       0.000us          2800  
                                              aten::add         3.79%      19.164ms         6.14%      31.019ms      15.029us       4.894ms         1.55%       4.894ms       2.371us          2064  
                                              aten::mul         3.61%      18.241ms         5.62%      28.397ms      12.677us       6.470ms         2.05%       6.470ms       2.888us          2240  
                                            aten::clone         0.75%       3.783ms         5.05%      25.491ms      22.760us       0.000us         0.00%       2.761ms       2.465us          1120  
                                        cudaGraphLaunch         4.39%      22.177ms         4.39%      22.177ms      21.657us       0.000us         0.00%       0.000us       0.000us          1024  
                                    aten::empty_strided         3.93%      19.861ms         3.94%      19.896ms       4.994us       0.000us         0.00%       0.000us       0.000us          3984  
                                              aten::pow         2.25%      11.378ms         3.48%      17.559ms      16.883us       2.363ms         0.75%       2.363ms       2.272us          1040  
                                             aten::mean         2.37%      11.963ms         3.43%      17.309ms      16.643us       4.944ms         1.57%       4.944ms       4.754us          1040  
                                            aten::rsqrt         1.37%       6.920ms         2.35%      11.875ms      11.419us       2.026ms         0.64%       2.028ms       1.950us          1040  
                                            aten::slice         1.34%       6.776ms         1.73%       8.720ms       3.096us       0.000us         0.00%       0.000us       0.000us          2816  
                                            aten::fill_         0.78%       3.957ms         1.70%       8.566ms      44.614us     388.775us         0.12%     388.775us       2.025us           192  
                                                aten::t         0.68%       3.410ms         1.39%       7.044ms       5.435us       0.000us         0.00%       0.000us       0.000us          1296  
                                          aten::reshape         0.41%       2.075ms         1.33%       6.713ms       2.874us       0.000us         0.00%       0.000us       0.000us          2336  
                          cudaGraphInstantiateWithFlags         1.24%       6.267ms         1.24%       6.267ms      97.924us       0.000us         0.00%       0.000us       0.000us            64  
                                             aten::view         1.08%       5.468ms         1.08%       5.468ms       1.998us       0.000us         0.00%       0.000us       0.000us          2736  
                                  cudaDeviceSynchronize         1.07%       5.414ms         1.07%       5.414ms      83.287us       0.000us         0.00%       0.000us       0.000us            65  
