=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  cudaDeviceSynchronize        49.02%      64.396ms        49.02%      64.396ms      64.396ms       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::linear         0.57%     751.387us        21.83%      28.678ms      63.871us       0.000us         0.00%     137.865ms     307.049us           449  
                                           aten::matmul         1.51%       1.989ms        19.96%      26.226ms      58.280us       0.000us         0.00%     137.865ms     306.367us           450  
                                               aten::mm         6.64%       8.723ms        17.41%      22.874ms      50.944us     128.812ms        90.05%     137.865ms     307.049us           449  
                                    Command Buffer Full        16.97%      22.294ms        16.97%      22.294ms     222.941us       9.664ms         6.76%       9.664ms      96.645us           100  
                                       cudaLaunchKernel         5.50%       7.219ms        15.38%      20.207ms      15.911us       0.000us         0.00%     611.388us       0.481us          1270  
                                         cuLaunchKernel         1.99%       2.620ms         9.08%      11.927ms      26.622us       0.000us         0.00%       9.053ms      20.208us           448  
                                              aten::mul         1.90%       2.496ms         8.48%      11.135ms      38.134us       3.555ms         2.49%       3.800ms      13.015us           292  
                                            aten::copy_         1.21%       1.595ms         4.37%       5.744ms      21.839us       2.663ms         1.86%       2.848ms      10.831us           263  
                                       aten::contiguous         0.08%     103.844us         3.92%       5.146ms      40.206us       0.000us         0.00%       1.690ms      13.202us           128  
                                            aten::clone         0.21%     279.227us         3.84%       5.043ms      39.395us       0.000us         0.00%       1.690ms      13.202us           128  
                                               aten::to         0.13%     169.336us         2.21%       2.901ms       9.701us       0.000us         0.00%       1.159ms       3.875us           299  
                                              aten::add         1.30%       1.714ms         2.12%       2.788ms      14.446us       1.345ms         0.94%       1.355ms       7.023us           193  
                                         aten::_to_copy         0.35%     465.003us         2.08%       2.731ms      20.231us       0.000us         0.00%       1.159ms       8.583us           135  
                                      aten::index_copy_         0.42%     552.526us         1.77%       2.328ms      36.378us     940.988us         0.66%       1.041ms      16.260us            64  
                                            aten::zero_         0.08%     109.723us         1.67%       2.190ms      34.221us       0.000us         0.00%     326.015us       5.094us            64  
                                            aten::zeros         0.07%      90.695us         1.63%       2.142ms      66.942us       0.000us         0.00%     178.783us       5.587us            32  
                                            aten::fill_         0.19%     245.797us         1.58%       2.080ms      32.506us     292.959us         0.20%     326.015us       5.094us            64  
                                        cudaMemsetAsync         1.54%       2.024ms         1.54%       2.024ms       4.517us       0.000us         0.00%       0.000us       0.000us           448  
                     aten::scaled_dot_product_attention         0.23%     303.812us         1.41%       1.852ms      57.885us       0.000us         0.00%       1.502ms      46.947us            32  
                                                aten::t         0.68%     893.821us         1.37%       1.795ms       3.998us       0.000us         0.00%       0.000us       0.000us           449  
