=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::expand         0.06%     107.968us         0.08%     139.909us       3.587us       0.000us         0.00%       0.000us       0.000us            39  
                                        aten::unsqueeze         0.07%     110.922us         0.08%     136.394us       2.006us       0.000us         0.00%       0.000us       0.000us            68  
                                          aten::resize_         0.08%     132.037us         0.08%     132.037us       3.668us       0.000us         0.00%       0.000us       0.000us            36  
                                               aten::le         0.03%      42.369us         0.07%     114.622us      57.311us       0.000us         0.00%       0.000us       0.000us             2  
                                           aten::arange         0.01%      19.869us         0.05%      92.572us      15.429us       0.000us         0.00%       0.000us       0.000us             6  
                                              aten::bmm         0.03%      53.799us         0.04%      63.848us      63.848us       0.000us         0.00%       0.000us       0.000us             1  
                                         aten::new_ones         0.02%      33.552us         0.04%      60.853us      60.853us       0.000us         0.00%       0.000us       0.000us             1  
                                   cudaFuncSetAttribute         0.02%      39.510us         0.02%      39.510us       1.235us       0.000us         0.00%       0.000us       0.000us            32  
                                             aten::add_         0.01%      19.046us         0.02%      31.579us      31.579us       0.000us         0.00%       0.000us       0.000us             1  
                                  cudaStreamIsCapturing         0.02%      27.539us         0.02%      27.539us       0.861us       0.000us         0.00%       0.000us       0.000us            32  
                                      aten::result_type         0.02%      25.901us         0.02%      25.901us       0.398us       0.000us         0.00%       0.000us       0.000us            65  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 168.997ms
Self CUDA time total: 177.726ms


=== Decode Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         1.98%      12.133ms        40.97%     250.563ms      34.878us       0.000us         0.00%     214.979ms      29.925us          7184  
                                           aten::matmul         4.70%      28.745ms        34.87%     213.300ms      29.625us       0.000us         0.00%     215.009ms      29.862us          7200  
                                               aten::mm        18.66%     114.141ms        26.90%     164.536ms      22.903us     214.955ms        73.75%     214.979ms      29.925us          7184  
                                       cudaLaunchKernel        24.88%     152.160ms        24.93%     152.505ms       5.745us       0.000us         0.00%       1.408us       0.000us         26544  
                     aten::scaled_dot_product_attention         1.31%       7.982ms        13.23%      80.942ms     158.090us       0.000us         0.00%      24.827ms      48.490us           512  
                                              aten::mul         6.48%      39.618ms        10.20%      62.358ms      13.347us      14.857ms         5.10%      14.857ms       3.180us          4672  
                                               aten::to         0.45%       2.775ms         7.91%      48.357ms      10.108us       0.000us         0.00%       6.963ms       1.455us          4784  
                                         aten::_to_copy         1.24%       7.579ms         7.45%      45.582ms      21.103us       0.000us         0.00%       6.963ms       3.223us          2160  
                                              aten::add         4.31%      26.347ms         6.83%      41.783ms      13.531us       6.243ms         2.14%       6.243ms       2.022us          3088  
