=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   cudaFuncSetAttribute         0.10%      56.144us         0.10%      56.144us       1.755us       0.000us         0.00%       0.000us       0.000us            32  
                              aten::_local_scalar_dense         0.04%      20.257us         0.10%      54.771us      54.771us       0.000us         0.00%       0.000us       0.000us             1  
                                  cudaStreamIsCapturing         0.07%      38.131us         0.07%      38.131us       1.031us       0.000us         0.00%       0.000us       0.000us            37  
                                              aten::cos         0.03%      18.815us         0.07%      37.108us      37.108us       0.000us         0.00%       0.000us       0.000us             1  
                                              aten::sin         0.03%      14.207us         0.06%      32.821us      32.821us       0.000us         0.00%       0.000us       0.000us             1  
                                      aten::result_type         0.05%      26.494us         0.05%      26.494us       0.408us       0.000us         0.00%       0.000us       0.000us            65  
                                        cudaMemcpyAsync         0.04%      23.744us         0.04%      23.744us      23.744us       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.04%      23.667us         0.04%      23.667us       0.370us       0.000us         0.00%       0.000us       0.000us            64  
                                          aten::resize_         0.02%      12.903us         0.02%      12.903us      12.903us       0.000us         0.00%       0.000us       0.000us             1  
                                  cudaStreamSynchronize         0.02%      10.770us         0.02%      10.770us      10.770us       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::expand         0.02%       8.835us         0.02%      10.579us       3.526us       0.000us         0.00%       0.000us       0.000us             3  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 54.710ms
Self CUDA time total: 50.386ms


=== Decode Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
