=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  cudaDeviceSynchronize        52.83%      64.083ms        52.83%      64.083ms      64.083ms       0.000us         0.00%       0.000us       0.000us             1  
                                       cudaLaunchKernel         6.18%       7.500ms        16.25%      19.707ms      15.136us       0.000us         0.00%     963.455us       0.740us          1302  
                                           aten::linear         0.60%     733.826us        15.90%      19.292ms      46.265us       0.000us         0.00%     119.860ms     287.435us           417  
                                           aten::matmul         1.59%       1.934ms        13.93%      16.893ms      40.413us       0.000us         0.00%     119.860ms     286.747us           418  
                                               aten::mm         7.14%       8.663ms        11.05%      13.407ms      32.151us     119.348ms        87.78%     119.860ms     287.435us           417  
                                    Command Buffer Full        10.06%      12.206ms        10.06%      12.206ms     244.129us     963.455us         0.71%     963.455us      19.269us            50  
                                              aten::mul         2.13%       2.585ms         7.09%       8.606ms      29.472us       3.489ms         2.57%       3.710ms      12.707us           292  
                                              aten::add         1.45%       1.762ms         5.39%       6.535ms      33.861us       1.326ms         0.98%       1.422ms       7.369us           193  
                                              aten::cat         1.09%       1.323ms         3.25%       3.946ms      40.685us       3.914ms         2.88%       3.990ms      41.139us            97  
                                            aten::copy_         1.33%       1.619ms         2.64%       3.207ms      12.195us       2.623ms         1.93%       2.623ms       9.974us           263  
                                               aten::to         0.15%     183.786us         2.48%       3.007ms       8.283us       0.000us         0.00%       1.122ms       3.090us           363  
                                         aten::_to_copy         0.41%     496.131us         2.33%       2.823ms      20.910us       0.000us         0.00%       1.122ms       8.309us           135  
                                       aten::contiguous         0.09%     103.934us         2.15%       2.612ms      20.403us       0.000us         0.00%       1.501ms      11.730us           128  
                                         cuLaunchKernel         2.08%       2.527ms         2.08%       2.527ms       6.074us       0.000us         0.00%       0.000us       0.000us           416  
                                            aten::clone         0.25%     304.303us         2.07%       2.508ms      19.591us       0.000us         0.00%       1.501ms      11.730us           128  
                                        cudaMemsetAsync         1.65%       1.997ms         1.65%       1.997ms       4.801us       0.000us         0.00%       0.000us       0.000us           416  
                                              aten::pow         0.58%     702.411us         1.65%       1.996ms      30.714us     491.008us         0.36%     527.425us       8.114us            65  
                     aten::scaled_dot_product_attention         0.24%     289.631us         1.50%       1.822ms      56.940us       0.000us         0.00%       1.489ms      46.527us            32  
                                        aten::transpose         0.96%       1.165ms         1.46%       1.770ms       2.207us       0.000us         0.00%       0.000us       0.000us           802  
                                                aten::t         0.71%     857.286us         1.45%       1.760ms       4.221us       0.000us         0.00%       0.000us       0.000us           417  
                                            aten::zero_         0.09%     109.237us         1.32%       1.601ms      25.021us       0.000us         0.00%     279.683us       4.370us            64  
