=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  cudaDeviceSynchronize        53.44%      73.389ms        53.44%      73.389ms      73.389ms       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::linear         0.56%     764.939us        14.17%      19.462ms      46.672us       0.000us         0.00%     132.621ms     318.035us           417  
                                           aten::matmul         1.41%       1.936ms        12.41%      17.037ms      40.758us       0.000us         0.00%     132.624ms     317.282us           418  
                                       cudaLaunchKernel         6.31%       8.671ms        12.24%      16.811ms      12.912us       0.000us         0.00%     279.744us       0.215us          1302  
                                               aten::mm         6.22%       8.543ms         9.83%      13.494ms      32.359us     132.621ms        87.78%     132.621ms     318.035us           417  
                                              aten::cat         1.14%       1.569ms         8.38%      11.512ms     118.679us       4.241ms         2.81%       4.298ms      44.309us            97  
                                             cudaMalloc         6.02%       8.264ms         6.02%       8.264ms     250.436us       0.000us         0.00%       0.000us       0.000us            33  
                                    Command Buffer Full         5.93%       8.140ms         5.93%       8.140ms     271.332us     279.744us         0.19%     279.744us       9.325us            30  
                                              aten::mul         1.90%       2.604ms         5.19%       7.125ms      24.400us       3.907ms         2.59%       4.038ms      13.829us           292  
                                              aten::add         1.27%       1.746ms         4.00%       5.493ms      28.459us       1.490ms         0.99%       1.548ms       8.020us           193  
                                            aten::copy_         1.18%       1.625ms         2.36%       3.239ms      12.314us       2.921ms         1.93%       2.921ms      11.105us           263  
                                               aten::to         0.13%     183.227us         2.22%       3.046ms       8.390us       0.000us         0.00%       1.270ms       3.500us           363  
                                         aten::_to_copy         0.38%     526.763us         2.08%       2.862ms      21.203us       0.000us         0.00%       1.270ms       9.411us           135  
                                        aten::embedding         0.01%      18.274us         1.97%       2.705ms       2.705ms       0.000us         0.00%      70.656us      70.656us             1  
                                     aten::index_select         0.03%      43.561us         1.95%       2.675ms       2.675ms      35.328us         0.02%      70.656us      70.656us             1  
                                       aten::contiguous         0.07%     100.323us         1.92%       2.639ms      20.619us       0.000us         0.00%       1.650ms      12.893us           128  
                                            aten::clone         0.26%     355.410us         1.85%       2.539ms      19.835us       0.000us         0.00%       1.650ms      12.893us           128  
                                         cuLaunchKernel         1.82%       2.503ms         1.82%       2.503ms       6.017us       0.000us         0.00%       0.000us       0.000us           416  
                                        cudaMemsetAsync         1.42%       1.949ms         1.42%       1.949ms       4.684us       0.000us         0.00%       0.000us       0.000us           416  
                     aten::scaled_dot_product_attention         0.21%     288.412us         1.37%       1.877ms      58.657us       0.000us         0.00%       1.651ms      51.581us            32  
                                                aten::t         0.64%     881.395us         1.30%       1.788ms       4.287us       0.000us         0.00%       0.000us       0.000us           417  
