=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  cudaDeviceSynchronize        46.85%      38.266ms        46.85%      38.266ms      38.266ms       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::linear         0.89%     728.245us        22.42%      18.312ms      43.914us       0.000us         0.00%      76.472ms     183.385us           417  
                                           aten::matmul         2.27%       1.857ms        19.60%      16.010ms      38.302us       0.000us         0.00%      76.472ms     182.946us           418  
                                               aten::mm        10.21%       8.337ms        15.49%      12.654ms      30.344us      76.472ms        81.00%      76.472ms     183.385us           417  
                                       cudaLaunchKernel         9.26%       7.566ms         9.26%       7.566ms       5.672us       0.000us         0.00%       0.000us       0.000us          1334  
                                              aten::mul         3.09%       2.520ms         4.80%       3.919ms      13.420us       3.632ms         3.85%       3.632ms      12.438us           292  
                                            aten::copy_         1.96%       1.600ms         3.88%       3.171ms      12.056us       2.690ms         2.85%       2.690ms      10.229us           263  
                                               aten::to         0.22%     181.703us         3.60%       2.939ms       8.096us       0.000us         0.00%       1.152ms       3.174us           363  
                                         aten::_to_copy         0.58%     475.171us         3.38%       2.757ms      20.424us       0.000us         0.00%       1.152ms       8.536us           135  
                                              aten::add         2.10%       1.712ms         3.30%       2.696ms      13.969us       1.376ms         1.46%       1.376ms       7.129us           193  
                                       aten::contiguous         0.12%     101.349us         3.14%       2.566ms      20.045us       0.000us         0.00%       1.538ms      12.016us           128  
                                            aten::clone         0.36%     296.378us         3.02%       2.464ms      19.253us       0.000us         0.00%       1.538ms      12.016us           128  
                                         cuLaunchKernel         2.89%       2.364ms         2.89%       2.364ms       6.155us       0.000us         0.00%       0.000us       0.000us           384  
                                              aten::cat         1.55%       1.269ms         2.29%       1.870ms      19.279us       4.820ms         5.11%       4.820ms      49.692us            97  
                     aten::scaled_dot_product_attention         0.36%     291.040us         2.22%       1.814ms      56.697us       0.000us         0.00%       1.532ms      47.890us            32  
                                        aten::transpose         1.37%       1.119ms         2.05%       1.673ms       2.086us       0.000us         0.00%       0.000us       0.000us           802  
                                                aten::t         1.02%     830.825us         2.03%       1.662ms       3.985us       0.000us         0.00%       0.000us       0.000us           417  
              aten::_scaled_dot_product_flash_attention         0.24%     196.956us         1.87%       1.523ms      47.602us       0.000us         0.00%       1.532ms      47.890us            32  
                                        cudaMemsetAsync         1.84%       1.503ms         1.84%       1.503ms       4.697us       0.000us         0.00%       0.000us       0.000us           320  
                         aten::_flash_attention_forward         0.40%     322.751us         1.41%       1.155ms      36.105us       1.532ms         1.62%       1.532ms      47.890us            32  
