=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  cudaDeviceSynchronize        56.39%      74.261ms        56.39%      74.261ms      74.261ms       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::linear         0.69%     912.961us        18.77%      24.722ms      59.284us       0.000us         0.00%     131.729ms     315.896us           417  
                                           aten::matmul         1.93%       2.547ms        16.49%      21.716ms      51.953us       0.000us         0.00%     131.729ms     315.141us           418  
                                               aten::mm         8.42%      11.090ms        13.03%      17.165ms      41.164us     131.729ms        87.82%     131.729ms     315.896us           417  
                                       cudaLaunchKernel         7.59%       9.995ms         7.59%       9.995ms       7.676us       0.000us         0.00%       0.000us       0.000us          1302  
                                              aten::mul         2.49%       3.277ms         3.96%       5.209ms      17.839us       3.845ms         2.56%       3.845ms      13.168us           292  
                                            aten::copy_         1.58%       2.075ms         3.22%       4.240ms      16.121us       2.903ms         1.94%       2.903ms      11.039us           263  
                                               aten::to         0.17%     222.051us         2.85%       3.758ms      10.352us       0.000us         0.00%       1.244ms       3.428us           363  
                                         aten::_to_copy         0.44%     576.460us         2.68%       3.536ms      26.192us       0.000us         0.00%       1.244ms       9.218us           135  
                                              aten::add         1.66%       2.191ms         2.67%       3.514ms      18.210us       1.480ms         0.99%       1.480ms       7.671us           193  
                                       aten::contiguous         0.10%     126.408us         2.65%       3.488ms      27.254us       0.000us         0.00%       1.659ms      12.959us           128  
                                            aten::clone         0.29%     376.780us         2.55%       3.362ms      26.266us       0.000us         0.00%       1.659ms      12.959us           128  
                                         cuLaunchKernel         2.50%       3.294ms         2.50%       3.294ms       7.917us       0.000us         0.00%       0.000us       0.000us           416  
                                        cudaMemsetAsync         1.92%       2.533ms         1.92%       2.533ms       6.088us       0.000us         0.00%       0.000us       0.000us           416  
                                              aten::cat         1.21%       1.591ms         1.82%       2.396ms      24.696us       4.218ms         2.81%       4.218ms      43.480us            97  
                     aten::scaled_dot_product_attention         0.24%     321.169us         1.70%       2.245ms      70.144us       0.000us         0.00%       1.655ms      51.704us            32  
                                        aten::transpose         1.09%       1.437ms         1.69%       2.228ms       2.778us       0.000us         0.00%       0.000us       0.000us           802  
                                                aten::t         0.82%       1.086ms         1.68%       2.207ms       5.294us       0.000us         0.00%       0.000us       0.000us           417  
              aten::_scaled_dot_product_flash_attention         0.18%     236.109us         1.46%       1.923ms      60.108us       0.000us         0.00%       1.655ms      51.704us            32  
                         aten::_flash_attention_forward         0.30%     396.065us         1.11%       1.457ms      45.544us       1.655ms         1.10%       1.655ms      51.704us            32  
