case,gpu,graph_on,mlp_graph_scope,dense_decode_graph,host_mean_ms,host_median_ms,host_p90_ms,host_min_ms,host_max_ms,gpu_mean_ms,gpu_median_ms,gpu_p90_ms,gpu_min_ms,gpu_max_ms,gpu_over_host_mean_ratio,notes
busy_gpu1_graph_on,1,1,layer_tail,1,13.747178333384605,13.72002151038032,14.10622600815259,13.189530989620835,14.816519018495455,25.977343718210857,26.444287300109863,28.649471282958984,22.31500816345215,28.650495529174805,1.8896491402257922,busy shared GPU; graph on
busy_gpu1_graph_off,1,0,mlp,0,31.215086664208986,30.91618100006599,31.9759419944603,30.51175401196815,32.74787697591819,29.758037567138672,29.737472534179688,29.76563262939453,28.31564712524414,32.23961639404297,0.953322279295769,busy shared GPU; graph off
cleaner_gpu5_graph_on,5,1,layer_tail,1,12.326642419793643,12.32644950505346,12.36229101778008,12.256876012543216,12.421010003890842,12.471295833587646,12.471295833587646,12.514304161071777,12.401663780212402,12.561408042907715,1.0117350214979648,relatively cleaner GPU; graph on
