=== OP PROFILE: flashsvd / PREFILL ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                       Runtime Triggered Module Loading        51.97%     210.614ms        51.97%     210.614ms       4.388ms     918.900us         1.78%     918.900us      19.144us           0 b           0 b           0 b           0 b            48  
                                           aten::matmul         0.44%       1.790ms        48.33%     195.827ms     468.486us       0.000us         0.00%      50.455ms     120.705us           0 b           0 b       1.61 Gb           0 b           418  
                                       cudaLaunchKernel         3.79%      15.340ms        45.04%     182.504ms     106.354us       0.000us         0.00%     666.264us       0.388us           0 b           0 b           0 b           0 b          1716  
                                           aten::linear         0.22%     894.428us        33.25%     134.745ms     323.130us       0.000us         0.00%      50.437ms     120.952us           0 b           0 b       1.61 Gb           0 b           417  
                                               aten::mm        16.37%      66.344ms        31.85%     129.066ms     309.511us      33.865ms        65.58%      50.437ms     120.952us           0 b           0 b       1.61 Gb       1.61 Gb           417  
                                        aten::embedding         0.02%      88.434us        15.78%      63.948ms      63.948ms       0.000us         0.00%     183.515us     183.515us           0 b           0 b       4.00 Mb           0 b             1  
                                              aten::bmm        11.75%      47.633ms        15.77%      63.899ms      63.899ms       2.945us         0.01%      17.670us      17.670us           0 b           0 b       8.25 Mb       8.25 Mb             1  
                                     aten::index_select         0.02%      96.277us        15.75%      63.826ms      63.826ms      36.703us         0.07%     183.515us     183.515us           0 b           0 b       4.00 Mb           0 b             1  
