=== OP PROFILE: static / PREFILL ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                       Runtime Triggered Module Loading        54.81%     222.503ms        54.81%     222.503ms       4.450ms       1.060ms         1.98%       1.060ms      21.197us           0 b           0 b           0 b           0 b            50  
                                           aten::matmul         0.49%       1.971ms        49.25%     199.927ms     444.282us       0.000us         0.00%      52.695ms     117.101us           0 b           0 b       1.61 Gb           0 b           450  
                                       cudaLaunchKernel         3.41%      13.832ms        47.66%     193.486ms     116.769us       0.000us         0.00%     645.823us       0.390us           0 b           0 b           0 b           0 b          1657  
                                           aten::linear         0.23%     925.082us        33.34%     135.353ms     301.454us       0.000us         0.00%      52.677ms     117.322us           0 b           0 b       1.60 Gb           0 b           449  
                                               aten::mm        16.43%      66.678ms        32.00%     129.918ms     289.350us      36.181ms        67.73%      52.677ms     117.322us           0 b           0 b       1.60 Gb       1.60 Gb           449  
                                              aten::bmm        12.37%      50.234ms        16.56%      67.210ms      67.210ms       2.976us         0.01%      17.856us      17.856us           0 b           0 b       8.25 Mb       8.25 Mb             1  
                                        aten::embedding         0.02%      90.227us        15.48%      62.828ms      62.828ms       0.000us         0.00%     181.120us     181.120us           0 b           0 b       4.00 Mb           0 b             1  
                                     aten::index_select         0.02%      96.449us        15.45%      62.705ms      62.705ms      36.224us         0.07%     181.120us     181.120us           0 b           0 b       4.00 Mb           0 b             1  
