=== OP PROFILE: densekv / PREFILL ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                       Runtime Triggered Module Loading        52.26%     209.611ms        52.26%     209.611ms       4.367ms     913.406us         1.75%     913.406us      19.029us           0 b           0 b           0 b           0 b            48  
                                           aten::matmul         0.48%       1.920ms        50.36%     201.990ms     448.867us       0.000us         0.00%      52.664ms     117.031us           0 b           0 b       1.61 Gb           0 b           450  
                                       cudaLaunchKernel         3.61%      14.481ms        44.96%     180.335ms     109.162us       0.000us         0.00%     610.688us       0.370us           0 b           0 b           0 b           0 b          1652  
                                           aten::linear         0.22%     879.105us        33.88%     135.884ms     302.637us       0.000us         0.00%      52.646ms     117.252us           0 b           0 b       1.61 Gb           0 b           449  
                                               aten::mm        16.67%      66.872ms        32.50%     130.377ms     290.371us      36.178ms        69.35%      52.646ms     117.252us           0 b           0 b       1.61 Gb       1.61 Gb           449  
                                              aten::bmm        12.85%      51.527ms        17.16%      68.836ms      68.836ms       2.976us         0.01%      17.856us      17.856us           0 b           0 b       8.25 Mb       8.25 Mb             1  
                                        aten::embedding         0.02%      91.468us        16.11%      64.630ms      64.630ms       0.000us         0.00%     182.400us     182.400us           0 b           0 b       4.00 Mb           0 b             1  
                                     aten::index_select         0.02%      94.735us        16.08%      64.506ms      64.506ms      36.480us         0.07%     182.400us     182.400us           0 b           0 b       4.00 Mb           0 b             1  
