=== long / nograph ===
decode_ms_per_token=35.5224

--- sort_by=cpu_time_total ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      20.139ms        12.84%      20.139ms      39.335us           512  
      ampere_s16816gemm_bf16_128x64_ldg8_stages_64x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us       9.749ms         6.22%       9.749ms      19.040us           512  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us       9.388ms         5.99%       9.388ms      18.335us           512  
                                            aten::copy_         4.73%      18.932ms        11.20%      44.771ms      14.061us       9.074ms         5.79%       9.074ms       2.850us          3184  
                                              aten::mul         4.48%      17.926ms         7.39%      29.541ms      11.258us       6.733ms         4.29%       6.736ms       2.567us          2624  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.921ms         3.14%       4.921ms       4.599us          1070  
                                             aten::mean         2.69%      10.752ms         3.95%      15.781ms      15.174us       4.504ms         2.87%       4.504ms       4.330us          1040  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       4.504ms         2.87%       4.504ms       4.330us          1040  
                                              aten::add         4.52%      18.066ms         7.23%      28.932ms      14.017us       3.988ms         2.54%       3.988ms       1.932us          2064  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.483ms         2.22%       3.483ms       2.244us          1552  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us       3.292ms         2.10%       3.292ms       6.430us           512  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.201ms         2.04%       3.201ms       3.078us          1040  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us       2.456ms         1.57%       2.456ms     153.470us            16  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.324ms         1.48%       2.324ms       2.270us          1024  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.179ms         1.39%       2.179ms       2.032us          1072  
                                              aten::pow         2.46%       9.857ms         3.88%      15.502ms      14.906us       2.122ms         1.35%       2.122ms       2.041us          1040  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.122ms         1.35%       2.122ms       2.041us          1040  
                                            aten::rsqrt         1.56%       6.255ms         2.76%      11.025ms      10.601us       1.914ms         1.22%       1.915ms       1.842us          1040  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.914ms         1.22%       1.914ms       1.840us          1040  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.664ms         1.06%       1.664ms       1.600us          1040  
                                             aten::silu         1.28%       5.117ms         2.03%       8.131ms      15.880us       1.628ms         1.04%       1.628ms       3.180us           512  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.628ms         1.04%       1.628ms       3.180us           512  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us       1.504ms         0.96%       1.504ms       2.849us           528  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       1.399ms         0.89%       1.399ms       2.733us           512  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.168ms         0.75%       1.168ms       2.282us           512  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     791.126us         0.50%     791.126us       1.545us           512  
                                           aten::argmax         0.05%     207.321us         0.08%     333.808us      20.863us     233.943us         0.15%     233.943us      14.621us            16  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     233.943us         0.15%     233.943us      14.621us            16  
                                     aten::index_select         0.04%     171.359us         0.11%     441.518us      27.595us      55.647us         0.04%      55.647us       3.478us            16  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us      55.647us         0.04%      55.647us       3.710us            15  
                                              aten::cat         0.05%     189.631us         0.07%     293.031us      18.314us      49.981us         0.03%      49.981us       3.124us            16  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      49.981us         0.03%      49.981us       3.332us            15  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      48.894us         0.03%      48.894us       1.528us            32  
                                              aten::sin         0.02%      91.029us         0.04%     166.107us      10.382us      44.574us         0.03%      44.574us       2.786us            16  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      44.574us         0.03%      44.574us       2.786us            16  
                                              aten::cos         0.03%     129.290us         0.05%     206.333us      12.896us      42.176us         0.03%      42.176us       2.636us            16  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      42.176us         0.03%      42.176us       2.812us            15  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 399.909ms
Self CUDA time total: 156.835ms

