=== short / layer ===
decode_ms_per_token=9.3546

--- sort_by=cpu_time_total ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
      ampere_s16816gemm_bf16_128x64_ldg8_stages_64x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us       9.660ms         6.85%       9.660ms      18.868us           512  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us       9.085ms         6.44%       9.085ms      17.745us           512  
                                            aten::copy_        12.16%       9.719ms        40.62%      32.479ms      15.036us       4.494ms         3.19%       4.496ms       2.081us          2160  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.322ms         3.06%       4.322ms       4.039us          1070  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.436ms         2.44%       3.436ms       3.304us          1040  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       3.003ms         2.13%       3.003ms       1.955us          1536  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.874ms         2.04%       2.874ms       1.852us          1552  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us       2.577ms         1.83%       2.577ms       5.033us           512  
                                               aten::mm         0.50%     398.919us         0.77%     613.226us      38.327us       2.566ms         1.82%       2.566ms     160.401us            16  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us       2.460ms         1.74%       2.460ms     153.725us            16  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.278ms         1.61%       2.278ms       2.190us          1040  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.900ms         1.35%       1.900ms       1.855us          1024  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.715ms         1.22%       1.715ms       1.600us          1072  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.686ms         1.20%       1.686ms       1.622us          1040  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.620ms         1.15%       1.620ms       1.558us          1040  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.571ms         1.11%       1.571ms       1.511us          1040  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.443ms         1.02%       1.443ms       2.818us           512  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us       1.283ms         0.91%       1.283ms       2.429us           528  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.257ms         0.89%       1.257ms       2.456us           512  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       1.202ms         0.85%       1.202ms       2.347us           512  
                                           aten::argmax         0.27%     212.243us         0.43%     345.779us      21.611us     236.189us         0.17%     236.189us      14.762us            16  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     236.189us         0.17%     236.189us      14.762us            16  
                                              aten::mul         0.59%     472.460us         0.96%     763.889us      11.936us     134.593us         0.10%     134.593us       2.103us            64  
                                             aten::mean         0.22%     175.659us         0.33%     262.623us      16.414us      70.717us         0.05%      70.717us       4.420us            16  
                                     aten::index_select         0.23%     183.526us         0.59%     468.878us      29.305us      56.064us         0.04%      56.064us       3.504us            16  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us      56.064us         0.04%      56.064us       3.738us            15  
                                              aten::cat         0.25%     197.614us         0.39%     309.393us      19.337us      50.145us         0.04%      50.145us       3.134us            16  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      50.145us         0.04%      50.145us       3.343us            15  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      47.328us         0.03%      47.328us       1.479us            32  
                                              aten::sin         0.12%      92.815us         0.22%     175.666us      10.979us      43.872us         0.03%      43.872us       2.742us            16  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      43.872us         0.03%      43.872us       2.742us            16  
                                              aten::cos         0.16%     128.449us         0.26%     209.459us      13.091us      41.633us         0.03%      41.633us       2.602us            16  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      41.633us         0.03%      41.633us       2.776us            15  
                                              aten::bmm         0.45%     357.397us         0.61%     485.476us      30.342us      34.688us         0.02%      34.688us       2.168us            16  
void gemmk1_kernel<int, float, 256, 5, true, false, ...         0.00%       0.000us         0.00%       0.000us       0.000us      34.688us         0.02%      34.688us       2.313us            15  
                                              aten::pow         0.22%     179.297us         0.34%     270.318us      16.895us      33.311us         0.02%      33.311us       2.082us            16  
                                            aten::rsqrt         0.13%     100.094us         0.22%     172.238us      10.765us      30.305us         0.02%      30.305us       1.894us            16  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 79.952ms
Self CUDA time total: 141.025ms

