=== long / layer ===
decode_ms_per_token=10.0233

--- sort_by=cpu_time_total ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
      ampere_s16816gemm_bf16_128x64_ldg8_stages_64x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us       9.624ms         6.35%       9.624ms      18.796us           512  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us       9.091ms         6.00%       9.091ms      17.755us           512  
                                            aten::copy_        11.71%       9.674ms        42.71%      35.292ms      16.339us       4.426ms         2.92%       4.428ms       2.050us          2160  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.318ms         2.85%       4.318ms       4.035us          1070  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.451ms         2.28%       3.451ms       3.318us          1040  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       2.976ms         1.96%       2.976ms       1.940us          1534  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.880ms         1.90%       2.880ms       1.856us          1552  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us       2.757ms         1.82%       2.757ms       5.385us           512  
                                               aten::mm         0.46%     380.708us         0.70%     581.114us      36.320us       2.563ms         1.69%       2.563ms     160.160us            16  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us       2.456ms         1.62%       2.456ms     153.504us            16  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.298ms         1.52%       2.298ms       2.210us          1040  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.904ms         1.26%       1.904ms       1.860us          1024  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.721ms         1.14%       1.721ms       1.655us          1040  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.713ms         1.13%       1.713ms       1.601us          1070  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.686ms         1.11%       1.686ms       1.621us          1040  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.681ms         1.11%       1.681ms       1.616us          1040  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.448ms         0.96%       1.448ms       2.829us           512  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us       1.283ms         0.85%       1.283ms       2.430us           528  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.218ms         0.80%       1.218ms       2.383us           511  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       1.211ms         0.80%       1.211ms       2.364us           512  
                                           aten::argmax         0.25%     206.273us         0.41%     335.620us      20.976us     235.652us         0.16%     235.652us      14.728us            16  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     235.652us         0.16%     235.652us      14.728us            16  
                                              aten::mul         0.56%     464.751us         0.90%     742.567us      11.603us     132.352us         0.09%     132.352us       2.068us            64  
                                             aten::mean         0.21%     170.143us         0.30%     251.203us      15.700us      71.136us         0.05%      71.136us       4.446us            16  
                                     aten::index_select         0.21%     176.658us         0.55%     450.883us      28.180us      56.447us         0.04%      56.447us       3.528us            16  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us      56.447us         0.04%      56.447us       3.763us            15  
                                              aten::cat         0.24%     197.272us         0.37%     305.685us      19.105us      50.177us         0.03%      50.177us       3.136us            16  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      50.177us         0.03%      50.177us       3.345us            15  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      45.216us         0.03%      45.216us       1.507us            30  
                                              aten::cos         0.15%     122.546us         0.25%     203.636us      12.727us      41.728us         0.03%      41.728us       2.608us            16  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      41.728us         0.03%      41.728us       2.782us            15  
                                              aten::sin         0.11%      91.089us         0.21%     171.716us      10.732us      41.345us         0.03%      41.345us       2.584us            16  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      41.345us         0.03%      41.345us       2.756us            15  
                                              aten::bmm         0.41%     340.537us         0.57%     468.837us      29.302us      35.424us         0.02%      35.424us       2.214us            16  
void gemmk1_kernel<int, float, 256, 5, true, false, ...         0.00%       0.000us         0.00%       0.000us       0.000us      35.424us         0.02%      35.424us       2.362us            15  
                                              aten::pow         0.21%     173.982us         0.32%     264.448us      16.528us      31.582us         0.02%      31.582us       1.974us            16  
                                            aten::rsqrt         0.12%      96.326us         0.20%     167.129us      10.446us      29.281us         0.02%      29.281us       1.830us            16  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 82.629ms
Self CUDA time total: 151.592ms

