=== short / split ===
decode_ms_per_token=20.5327

--- sort_by=cpu_time_total ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
      ampere_s16816gemm_bf16_128x64_ldg8_stages_64x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us       9.985ms         6.72%       9.985ms      19.502us           512  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       9.861ms         6.63%       9.861ms      19.259us           512  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us       9.254ms         6.22%       9.254ms      18.074us           512  
                                              aten::mul         6.27%      14.018ms        10.35%      23.144ms      10.958us       5.569ms         3.75%       5.569ms       2.637us          2112  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       5.110ms         3.44%       5.110ms       1.996us          2560  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.912ms         3.30%       4.912ms       4.590us          1070  
                                             aten::mean         4.72%      10.549ms         6.97%      15.593ms      14.993us       4.563ms         3.07%       4.563ms       4.388us          1040  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       4.563ms         3.07%       4.563ms       4.388us          1040  
                                              aten::add         7.41%      16.584ms        12.59%      28.156ms      13.641us       4.320ms         2.91%       4.320ms       2.093us          2064  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.312ms         2.23%       3.312ms       2.134us          1552  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.158ms         2.12%       3.158ms       3.036us          1040  
                                               aten::mm         0.18%     408.595us         0.28%     623.775us      38.986us       2.563ms         1.72%       2.563ms     160.163us            16  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us       2.561ms         1.72%       2.561ms       5.003us           512  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.497ms         1.68%       2.497ms       2.439us          1024  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us       2.455ms         1.65%       2.455ms     153.458us            16  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.181ms         1.47%       2.181ms       2.035us          1072  
                                              aten::pow         4.22%       9.444ms         6.72%      15.034ms      14.456us       2.155ms         1.45%       2.155ms       2.072us          1040  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.155ms         1.45%       2.155ms       2.072us          1040  
                                            aten::rsqrt         2.68%       6.001ms         4.70%      10.512ms      10.108us       1.991ms         1.34%       1.991ms       1.914us          1040  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.991ms         1.34%       1.991ms       1.914us          1040  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.823ms         1.23%       1.823ms       1.753us          1040  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.445ms         0.97%       1.445ms       2.823us           512  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us       1.280ms         0.86%       1.280ms       2.424us           528  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       1.178ms         0.79%       1.178ms       2.301us           512  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.165ms         0.78%       1.165ms       2.276us           512  
                                           aten::argmax         0.10%     217.475us         0.16%     354.249us      22.141us     236.609us         0.16%     236.609us      14.788us            16  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     236.609us         0.16%     236.609us      14.788us            16  
                                     aten::index_select         0.08%     186.716us         0.21%     471.211us      29.451us      55.558us         0.04%      55.558us       3.472us            16  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us      55.558us         0.04%      55.558us       3.704us            15  
                                              aten::cat         0.09%     196.829us         0.14%     303.865us      18.992us      53.449us         0.04%      53.449us       3.341us            16  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      53.449us         0.04%      53.449us       3.341us            16  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      47.109us         0.03%      47.109us       1.472us            32  
                                              aten::cos         0.06%     128.214us         0.09%     211.390us      13.212us      43.907us         0.03%      43.907us       2.744us            16  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      43.907us         0.03%      43.907us       2.744us            16  
                                              aten::sin         0.04%      94.241us         0.08%     174.673us      10.917us      43.716us         0.03%      43.716us       2.732us            16  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      43.716us         0.03%      43.716us       2.732us            16  
                                              aten::bmm         0.16%     352.093us         0.21%     476.992us      29.812us      34.466us         0.02%      34.466us       2.154us            16  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 223.672ms
Self CUDA time total: 148.663ms

